time_period,time_identifier,level,country_code,country_name,school_type,characteristic_breakdown,characteristic_label,characteristic_2,headcount
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Traveller_of_Irish_heritage,Ethnicity_gender,Female,2290
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Gypsy_Roma,Ethnicity,Total,17425
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Gypsy_Roma,Ethnicity_gender,Male,8815
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Gypsy_Roma,Ethnicity_gender,Female,8605
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Any_other_white_background,Ethnicity,Total,321575
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Any_other_white_background,Ethnicity_gender,Male,164625
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_Any_other_white_background,Ethnicity_gender,Female,156950
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Major_Mixed_Total,Ethnicity,Total,281280
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Major_Mixed_Total,Ethnicity_gender,Male,142460
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Major_Mixed_Total,Ethnicity_gender,Female,138820
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_White_and_Black_Caribbean,Ethnicity,Total,72885
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_White_and_Black_Caribbean,Ethnicity_gender,Male,36615
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_White_and_Black_Caribbean,Ethnicity_gender,Female,36270
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_White_and_Black_African,Ethnicity,Total,39080
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_White_and_Black_African,Ethnicity_gender,Male,19545
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_White_and_Black_African,Ethnicity_gender,Female,19540
201617,,NATIONAL,E92000001,England,State-funded primary,Ethnicity_Minor_White_and_Asian,Ethnicity,Total,66640
